title,brand,price,$/gb,currency,capacity_gb,speed,form_factor,condition,link,source,itemGroupType
Kingston 16 GB 5600MT DDR5 CL36 DIMM K2 Fury Beast Black Expo RAM Card,Kingston,45.99,2.874375,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/116771424691?campid=5339111681,Ebay,
64GB G.Skill DDR5 Ripjaws S5 5600MHz CL28 Dual Channel Kit 2X 32GB Desktop RAM ,G.Skill,144.99,2.26546875,USD,64,DDR5,Desktop,New,https://www.ebay.com/itm/406207404186?campid=5339111681,Ebay,
SK hynix 8GB DDR5 5600 Desktop RAM UDIMM 1Rx16 PC5-5600B HMCG66AGBUA081N,SK Hynix,22.39,2.79875,USD,8,DDR5,Desktop,Open box,https://www.ebay.com/itm/116750274729?campid=5339111681,Ebay,
Crucial - DDR5 - kit - 48 GB: 2 x 24 GB - SO-DIMM 262-pin - 5600 MHz/PC5-44800.,Crucial,130.00,2.7083333333333335,USD,48,DDR5,Laptop,New,https://www.ebay.com/itm/357609700680?campid=5339111681,Ebay,
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Intel XMP,Corsair,79.99,2.4996875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/396483205214?campid=5339111681,Ebay,
A-Tech 16GB Kit (2x 8GB) DDR5 4800 MHz Desktop PC5-38400 DIMM 288-Pin Memory RAM,A-Tech,37.79,2.361875,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/325470880728?campid=5339111681,Ebay,
Crucial 128GB DDR5-5600 SODIMM Memory Kit - Black (CT2K64G56C46S5),Crucial,410.50,3.20703125,USD,128,DDR5-5600,Laptop,New,https://www.ebay.com/itm/116750839366?campid=5339111681,Ebay,
Crucial - Pro 64GB (2x32GB) DDR5 5600MHz C46 UDIMM Desktop Memory - Black,Crucial,169.99,2.65609375,USD,64,DDR5,Desktop,New,https://www.ebay.com/itm/205117563460?campid=5339111681,Ebay,
CORSAIR Vengeance 16GB (2 x 8GB) 262-Pin DDR5 SO-DIMM DDR5 4800 (PC4 38400) FS!!,Corsair,30.00,1.875,USD,16,DDR5,Laptop,New,https://www.ebay.com/itm/406236824730?campid=5339111681,Ebay,
Crucial 48GB 5600MHz DDR5 SO-DIMM RAM PC5-44800 Laptop Memory CT48G56C46S5,Crucial,119.95,2.4989583333333334,USD,48,5600MHz,Laptop,New,https://www.ebay.com/itm/387745165929?campid=5339111681,Ebay,
G.Skill Flare X5 32GB (2x 16GB) DDR5-6000 (PC5-48000) CL36 XMP EXPO Desktop RAM,G.Skill,77.95,2.4359375,USD,32,DDR5-6000,Desktop,New,https://www.ebay.com/itm/127219606627?campid=5339111681,Ebay,
Patriot Viper Venom RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Des,Patriot,85.49,2.6715625,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/295002725636?campid=5339111681,Ebay,
