title,brand,price,$/gb,currency,capacity_gb,speed,form_factor,condition,link,source,itemGroupType
"G.SKILL FLARE X5, DDR5-6000, 32GB, 16GB X 2, DESKTOP RAM, F5-6000J3636F16GX2-FX5",G.Skill,180.00,5.625,USD,32,DDR5-6000,Desktop,New,https://www.ebay.com/itm/187758631038?campid=5339111681,Ebay,
Crucial Pro 128GB Kit (2x64GB) DDR5 RAM 5600MHz Desktop Memory CP2K64G56C46U5,Crucial,850.00,6.640625,USD,128,DDR5,Desktop,New,https://www.ebay.com/itm/317562102783?campid=5339111681,Ebay,
Team Group 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory Model FF4D,Team Group,100.99,6.311875,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/388610778809?campid=5339111681,Ebay,
G.Skill Trident Z5 RGB Series 32GB (2x16GB) RAM DDR5-7200 (FOR INTEL) - New,G.Skill,249.00,7.78125,USD,32,DDR5-7200,Desktop,New,https://www.ebay.com/itm/205860983292?campid=5339111681,Ebay,
"TEAMGROUP 32GB (2 x 16GB) DDR5-6000 CL38 DIMM Memory XMP - Black, works on CL30",Team Group,210.00,6.5625,USD,32,DDR5-6000,Desktop,Used,https://www.ebay.com/itm/197878791273?campid=5339111681,Ebay,
*NEW* G.SKILL 32GB DDR5 6400 Desktop RAM F5-6400J3239G16GA2-TZ5RK,G.Skill,199.00,6.21875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/389237451331?campid=5339111681,Ebay,
Crucial 64 GB DDR5 5600 (PC5 44800) Memory (Desktop Memory),Crucial,514.99,8.04671875,USD,64,DDR5,Desktop,New,https://www.ebay.com/itm/388304714216?campid=5339111681,Ebay,
Hynix 16GB DDR5 4800MHz PC5-38400 1Rx8 EC8 RDIMM Server Memory RAM (HMCG78MEBRX),SK Hynix,161.99,10.124375,USD,16,DDR5,Server,Open box,https://www.ebay.com/itm/326870595348?campid=5339111681,Ebay,
Crucial Pro 2x32GB DDR5 6000MT/s CL40-40-40-80 Overclocking Desktop Memory,Crucial,425.00,13.28125,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/376715644977?campid=5339111681,Ebay,
Micron 16GB DDR5 5600MHz PC5-44900 1.1V Non-ECC SO-DIMM Memory RAM,Micron,110.00,6.875,USD,16,DDR5,Server,Open box,https://www.ebay.com/itm/116888717735?campid=5339111681,Ebay,
A-Tech 16GB Kit (2x 8GB) DDR5 4800 MHz Desktop PC5-38400 DIMM 288-Pin Memory RAM,A-Tech,113.34,7.08375,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/325470880728?campid=5339111681,Ebay,
Crucial - 128GB Kit (2x64GB) DDR5 5600MHz C46 SODIMM Laptop Memory - Black,Crucial,815.99,6.374921875,USD,128,DDR5,Laptop,New,https://www.ebay.com/itm/197794177436?campid=5339111681,Ebay,
Corsair Vengeance 32GB (2x16GB) DDR5 4800MHz Desktop RAM. Intel XMP Ready.,Corsair,240.00,7.5,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/127508727831?campid=5339111681,Ebay,
Team Group 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory Model FF3D,Team Group,100.99,6.311875,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/306325747710?campid=5339111681,Ebay,
Crucial 32GB DDR5-5600 SODIMM,Crucial,290.00,9.0625,USD,32,DDR5-5600,Laptop,Open box,https://www.ebay.com/itm/127507379307?campid=5339111681,Ebay,
Patriot Viper Elite 5 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 CL30(PC5 48000) H,Patriot,262.99,8.2184375,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/389171457580?campid=5339111681,Ebay,
Patriot Viper Venom 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory,Patriot,216.49,6.7653125,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/304502443561?campid=5339111681,Ebay,
SK Hynix DDR5 UDIMM 32GB 2x16GB PC5-4800B 1Rx8 288-Pin Desktop RAM Memory,SK Hynix,169.99,5.3121875,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/227082899830?campid=5339111681,Ebay,
G.SKILL Flare X5 64GB (2 x32GB) 288-Pin PC RAM DDR5 5200 CL36-36-83 1.25 V-RARE,G.Skill,365.95,5.71796875,USD,64,DDR5,Desktop,New,https://www.ebay.com/itm/317562854455?campid=5339111681,Ebay,
BRAND NEW 32GB Transcend JetRam DDR5 4800MHz SO-DIMM Laptop Memory 2X16GB Module,Transcend,194.95,6.0921875,USD,32,DDR5,Laptop,New,https://www.ebay.com/itm/317556934341?campid=5339111681,Ebay,
G.SKILL TRIDENT Z5 RGB DDR5 RAM INTEL XMP 3.0 96GB (2X48GB) 6400MT/S CL32 NEW,G.Skill,499.99,5.2082291666666665,USD,96,DDR5,Desktop,New,https://www.ebay.com/itm/187758588733?campid=5339111681,Ebay,
