title,brand,price,$/gb,currency,capacity_gb,speed,form_factor,condition,link,source,itemGroupType
Corsair Vengeance RGB DDR5 RAM 32GB 6000Mhz CL36 Intel XMP (CMH32GX5M2E6000C36W),Corsair,125.00,3.90625,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/227036523623?campid=5339111681,Ebay,
Samsung 16GB PC5-38400 DDR5 4800 MHz SODIMM Laptop Memory RAM M425R2GA3BB0-CQK,Samsung,59.95,3.746875,USD,16,DDR5,Laptop,New,https://www.ebay.com/itm/234729283627?campid=5339111681,Ebay,
Crucial - Pro 128GB (2x64GB) DDR5 5600MHz C46 UDIMM Desktop Memory - Black,Crucial,623.99,4.874921875,USD,128,DDR5,Desktop,New,https://www.ebay.com/itm/197794079145?campid=5339111681,Ebay,
Crucial - 128GB Kit (2x64GB) DDR5 5600MHz C46 SODIMM Laptop Memory - Black,Crucial,594.99,4.648359375,USD,128,DDR5,Laptop,New,https://www.ebay.com/itm/197794177436?campid=5339111681,Ebay,
Crucial - Pro 32GB (2x16GB) DDR5 5600MHz C46 UDIMM Desktop Memory - Black,Crucial,169.99,5.3121875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/205117559099?campid=5339111681,Ebay,
Patriot Viper Venom 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop,Patriot,61.99,3.874375,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/388203617819?campid=5339111681,Ebay,
G.SKILL Trident Z5 RGB 64GB (2x32GB) DDR5-6400 RAM (F5-6400J3239G32GX2-TZ5RK),G.Skill,299.99,4.68734375,USD,64,DDR5-6400,Desktop,Open box,https://www.ebay.com/itm/286896948655?campid=5339111681,Ebay,
TEAMGROUP T-Force Delta 16GB (2 x 8GB) RAM DDR5 6000 CL38 Memory BLACK RGB,Team Group,62.30,3.89375,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/326810518231?campid=5339111681,Ebay,
Hynix DDR5 16GB (2X8GB) 5600MHz PC5 UDIMM Memory Ram,SK Hynix,49.99,3.124375,USD,16,DDR5,Desktop,Open box,https://www.ebay.com/itm/187682455749?campid=5339111681,Ebay,
Patriot Viper Elite 5 16GB 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory M,Patriot,56.99,3.561875,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/306313286532?campid=5339111681,Ebay,
Micron 32GB DDR5 4800MHz ECC UDIMM CL40 Server Workstation MTC20C2085S1EC48BA1R,Micron,229.95,7.1859375,USD,32,DDR5,Server,New,https://www.ebay.com/itm/127372407898?campid=5339111681,Ebay,
G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin DDR5 SDRAM,G.Skill,154.00,4.8125,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/146905111144?campid=5339111681,Ebay,
T-Force Delta RGB DDR5 Ram 16GB (1RX8) 6000MHz,T-Force,75.00,4.6875,USD,16,DDR5,Desktop,Open box,https://www.ebay.com/itm/127347340100?campid=5339111681,Ebay,
G.Skill Trident Z5 Neo RGB Series AMD Expo 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6,G.Skill,129.99,4.0621875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/235613278199?campid=5339111681,Ebay,
"G.Skill Flare X5, 32GB (2x16GB) memory DIMM, DDR5 6000, F5-6000J3038F16GX2-FX5",G.Skill,159.95,4.9984375,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/257174369871?campid=5339111681,Ebay,
A-Tech 16GB Kit (2x 8GB) DDR5 4800 MHz Desktop PC5-38400 DIMM 288-Pin Memory RAM,A-Tech,85.86,5.36625,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/325470880728?campid=5339111681,Ebay,
Corsair Vengeance RGB DDR5 32GB RAM Memory (2x16GB) 6000MHz CMH32GX5M2M6000Z36,Corsair,120.00,3.75,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/406319107853?campid=5339111681,Ebay,
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 Desktop Memory,Corsair,154.49,4.8278125,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/305633592083?campid=5339111681,Ebay,
Samsung 16GB (2x8GB) DDR5 5600MHz UDIMM Desktop RAM M323R1GB4PB0-CWM0L,Samsung,49.99,3.124375,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/257031591159?campid=5339111681,Ebay,
CORSAIR Vengeance RGB 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) CL30,Corsair,259.00,4.046875,USD,64,DDR5,Desktop,New,https://www.ebay.com/itm/397097629992?campid=5339111681,Ebay,
Hynix 16GB 1Rx8 DDR5 5600MHz PC5-44800 EC8 RDIMM Server Memory RAM (HMCG78AGBRA),SK Hynix,134.19,8.386875,USD,16,DDR5,Server,Open box,https://www.ebay.com/itm/226568304418?campid=5339111681,Ebay,
CT48G56C46S5 Crucial 48GB DDR5 5600MHz SO-DIMM RAM PC5-44800 Laptop Memory!,Crucial,150.00,3.125,USD,48,DDR5,Laptop,New,https://www.ebay.com/itm/136645666676?campid=5339111681,Ebay,
SK Hynix 8GB SODIMM DDR5 5600MHz Laptop RAM Memory,SK Hynix,21.00,2.625,USD,8,DDR5,Laptop,New,https://www.ebay.com/itm/197804189978?campid=5339111681,Ebay,
"""BRAND NEW"" G.SKILL Flare X5 DDR5 (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000",G.Skill,229.99,7.1871875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/277459570560?campid=5339111681,Ebay,
"G.SKILL FLARE X5, DDR5-6000, 32GB, 16GB X 2, DESKTOP RAM, F5-6000J3636F16GX2-FX5",G.Skill,129.99,4.0621875,USD,32,DDR5-6000,Desktop,New,https://www.ebay.com/itm/376649013744?campid=5339111681,Ebay,
SK hynix  32GB DDR5 5600MHz UDIMM Desktop RAM,SK Hynix,119.99,3.7496875,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/336244575692?campid=5339111681,Ebay,
SK hynix 32GB SoDimm DDR5-4800B PC5-38400 2Rx8 Non-ECC 1.1V HMCG88MEBSA092N,SK Hynix,89.00,2.78125,USD,32,DDR5,Server,Open box,https://www.ebay.com/itm/277449517135?campid=5339111681,Ebay,
16GB DDR5 5600 SODIMM Laptop Memory for Dell HP Leno Acer AS MSI Gigabytes,Dell,51.95,3.246875,USD,16,DDR5,Laptop,New,https://www.ebay.com/itm/397173940000?campid=5339111681,Ebay,
HMCG88MEBRA107N HYNIX 32GB 2Rx8 PC5-4800B DDR5 38400 ECC RIDMM MEMORY,SK Hynix,169.00,5.28125,USD,32,DDR5,Server,Used,https://www.ebay.com/itm/127335432958?campid=5339111681,Ebay,
A-Tech 8GB DDR5 5600 MHz Desktop DIMM PC5-44800 288-Pin Non-ECC Memory RAM 1x8GB,A-Tech,44.27,5.53375,USD,8,DDR5,Server,New,https://www.ebay.com/itm/225908524193?campid=5339111681,Ebay,
CORSAIR Dominator RGB DDR5 RAM 96GB (2x48GB) 6000MHz CL30-36 CMP96GX5M2B6000Z30W,Corsair,389.00,4.052083333333333,USD,96,DDR5,Desktop,New,https://www.ebay.com/itm/397183544984?campid=5339111681,Ebay,
Samsung 8GB DDR5 5600MHz UDIMM Desktop PC Memory M323R1GB4DB0-CWM,Samsung,29.97,3.74625,USD,8,DDR5,Desktop,New,https://www.ebay.com/itm/396097468620?campid=5339111681,Ebay,
Crucial Pro 48GB DDR5 5600MHz UDIMM Desktop Memory CP48G56C46U5,Crucial,149.00,3.1041666666666665,USD,48,DDR5,Desktop,Used,https://www.ebay.com/itm/286201591684?campid=5339111681,Ebay,
Corsair CMSX16GX5M1A4800C40 Vengeance 16GB 262-Pin DDR5 SO-DIMM DDR5 4800 Laptop,Corsair,79.20,4.95,USD,16,DDR5,Laptop,Open box,https://www.ebay.com/itm/197792096871?campid=5339111681,Ebay,
Kingston FURY Beast 128GB (2 x 64GB) 288-Pin PC RAM DDR5 5600 (PC5 44800) Memory,Kingston,489.49,3.824140625,USD,128,DDR5,Desktop,New,https://www.ebay.com/itm/306379208493?campid=5339111681,Ebay,
TEAMGROUP T-Force Delta 16GB (2 x 8GB) RGB RAM DDR5 6000 CL38 (PC5 48000) Memory,Team Group,89.59,5.599375,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/389142911375?campid=5339111681,Ebay,
Corsair Vengeance RGB 32GB 2x16GB DDR5 5200MHz CL40 CMH32GX5M2B5200C40W Memory,Corsair,110.00,3.4375,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/257171897058?campid=5339111681,Ebay,
32GB DDR5 Ram Samsung SODIMM PC5-5600  (16GB x2),Samsung,134.99,4.2184375,USD,32,DDR5,Laptop,Used,https://www.ebay.com/itm/297709912743?campid=5339111681,Ebay,
8GB DDR5 PC5-44800U DIMM Hynix HMCG66AGBUA084N Equivalent Desktop Memory RAM 1x,SK Hynix,46.49,5.81125,USD,8,DDR5,Desktop,New,https://www.ebay.com/itm/226296078562?campid=5339111681,Ebay,
Samsung 1x32GB PC5-44800 DDR5 5600 MHz SODIMM Laptop Memory RAM M425R4GA3BB0-CWM,Samsung,216.00,6.75,USD,32,DDR5,Laptop,New,https://www.ebay.com/itm/116002663371?campid=5339111681,Ebay,
Hynix 16GB DDR5 5600 MHz PC5-44800 Non-ECC DIMM Desktop Memory RAM (HMCG78AGBUA),SK Hynix,87.46,5.46625,USD,16,DDR5,Server,Open box,https://www.ebay.com/itm/326367162267?campid=5339111681,Ebay,
Patriot Viper Elite 5 Ultra RGB 48GB (2x24G) DDR5-8000 PC5-64000 XMP/EXPO PC RAM,Patriot,199.99,4.166458333333334,USD,48,DDR5-8000,Desktop,New,https://www.ebay.com/itm/177337970267?campid=5339111681,Ebay,
Patriot Viper Venom 32GB (2x16GB) DDR5-6000 PC5-48000 CL30 UDIMM XMP/EXPO PC RAM,Patriot,154.99,4.8434375,USD,32,DDR5-6000,Desktop,New,https://www.ebay.com/itm/176684879812?campid=5339111681,Ebay,
Samsung 16GB PC5-38400 DDR5 4800 MHz DIMM Desktop Memory RAM (M323R2GA3BB0-CQK),Samsung,116.64,7.29,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/325193753064?campid=5339111681,Ebay,
SK hynix 16GB DDR5 5600 Desktop RAM PC5-5600B-UA0 HMCG78AGBUA081N Non-ECC UDIMM,SK Hynix,79.20,4.95,USD,16,DDR5,Server,Used,https://www.ebay.com/itm/176296797979?campid=5339111681,Ebay,
Samsung 8GB DDR5 5600 PC5-44800 1Rx16 SODIMM Laptop Memory RAM M425R1GB4BB0-CWM,Samsung,38.33,4.79125,USD,8,DDR5,Laptop,Used,https://www.ebay.com/itm/226407331965?campid=5339111681,Ebay,
Hynix 8GB DDR5-5600 DIMM HMCG66AGBUA081N HMCG66AGBUA084N Desktop Memory RAM,SK Hynix,50.91,6.36375,USD,8,DDR5-5600,Desktop,Open box,https://www.ebay.com/itm/226244059439?campid=5339111681,Ebay,
Team Group T-CREATE EXPERT 32GB (2 x 16GB) PC RAM DDR5 6000 (PC5 48000) Memory,Team Group,149.00,4.65625,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/205801654926?campid=5339111681,Ebay,
NEW SNPR62CWC/32G Dell Memory Module Upgrade 32GB PC5-4800 DDR5 SODIMM Memory,Dell,129.00,4.03125,USD,32,DDR5,Laptop,New,https://www.ebay.com/itm/356368575549?campid=5339111681,Ebay,
Samsung 1x16GB PC5-44800 DDR5 5600 MHz SODIMM Laptop Memory RAM M425R2GA3BB0-CWM,Samsung,106.50,6.65625,USD,16,DDR5,Laptop,New,https://www.ebay.com/itm/115896578964?campid=5339111681,Ebay,
Corsair 48GB (2x24GB) DOMINATOR® TITANIUM RGB 56000MHz DDR5 - CMP48GX5M2B7000C36,Corsair,192.91,4.018958333333333,USD,48,DDR5,Desktop,Open box,https://www.ebay.com/itm/197797070661?campid=5339111681,Ebay,
Hynix 48gb PC5-4800B 1Rx4 DDR5 ECC RDIMM Reg Server Memory HMCGY4MEBRB215N AA,SK Hynix,188.00,3.9166666666666665,USD,48,DDR5,Server,Open box,https://www.ebay.com/itm/236411210030?campid=5339111681,Ebay,
Patriot Viper Venom 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory,Patriot,144.49,4.5153125,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/304502443561?campid=5339111681,Ebay,
Team T-Force Delta ECO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000),T-Force,159.95,4.9984375,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/157258883617?campid=5339111681,Ebay,
Kingston FURY Renegade 32GB (2 x 16GB) 288-Pin PC RAM DDR5 7200 (PC5 57600),Kingston,165.00,5.15625,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/226732839574?campid=5339111681,Ebay,
A-Tech Velocity 32GB DDR5 5600 (PC5-44800) CL46 XMP Desktop PC Gaming Memory RAM,A-Tech,169.06,5.283125,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/226114999365?campid=5339111681,Ebay,
Kingston Memory KF552C40BB-32 32GB 5200MHz DDR5 CL40 DIMM FURY Beast Black,Kingston,79.00,2.46875,USD,32,5200MHz,Desktop,Open box,https://www.ebay.com/itm/186684713475?campid=5339111681,Ebay,
Samsung 16GB DDR5 5600 MHz PC5-44800 SODIMM Laptop Memory RAM (M425R2GA3PB0-CWM),Samsung,110.08,6.88,USD,16,DDR5,Laptop,Open box,https://www.ebay.com/itm/326367162270?campid=5339111681,Ebay,
Samsung 8GB DDR5 4800MHz SODIMM PC5-38400 CL40 262-Pin Laptop RAM Memory Module,Samsung,35.00,4.375,USD,8,DDR5,Laptop,New,https://www.ebay.com/itm/127276282574?campid=5339111681,Ebay,
Crucial DDR5 Ram 64gb (2x32) 4800 For Laptop,Crucial,200.00,3.125,USD,64,DDR5,Laptop,New,https://www.ebay.com/itm/186188588860?campid=5339111681,Ebay,
A-Tech 16GB 2x 8GB PC5-41600 DDR5 5200 MHz Non-ECC DIMM Desktop Memory RAM x2,A-Tech,88.55,5.534375,USD,16,DDR5,Server,New,https://www.ebay.com/itm/326463092050?campid=5339111681,Ebay,
CORSAIR Vengeance 96GB (2 x 48GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop M,Corsair,422.49,4.4009375,USD,96,DDR5,Desktop,New,https://www.ebay.com/itm/306324161447?campid=5339111681,Ebay,
Kingston FURY Beast RGB 8GB 5200MT/s DDR5 CL40 DIMM Desktop Memory,Kingston,36.00,4.5,USD,8,5200MT/s,Desktop,New,https://www.ebay.com/itm/167768580883?campid=5339111681,Ebay,
Crucial 64GB 2x32GB DDR5 4800MHz PC5-38400 CL40 Desktop RAM Memory 288-Pin Dimm,Crucial,179.55,2.80546875,USD,64,DDR5,Desktop,Open box,https://www.ebay.com/itm/336252413157?campid=5339111681,Ebay,
TeamGroup T-Force Delta RGB 32GB (2 x 16GB) 288Pin PC RAM DDR5 6400 (PC5 51200),Team Group,149.99,4.6871875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/365924277337?campid=5339111681,Ebay,
Hynix 8GB DDR5 5600 MHz PC5-44800 1Rx16 DIMM Desktop Memory RAM (HMCG66AGBUA) x1,SK Hynix,44.27,5.53375,USD,8,DDR5,Desktop,Open box,https://www.ebay.com/itm/226784077892?campid=5339111681,Ebay,
Crucial 16GB Single DDR5 4800MHz PC5-38400 RAM 288-Pin Desktop Memory 4800 uDIMM,Crucial,56.99,3.561875,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/255763836830?campid=5339111681,Ebay,
Dell Memory Upgrade 32GB - 2Rx8 DDR5 UDIMM 5600 MT/s SNP8D9M0C/32G AC774043 RAM,Dell,169.95,5.3109375,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/187559857174?campid=5339111681,Ebay,
Kingston Server Premier 48GB DDR5-5600 KSM56T46BD8KM-48HM Unbuffered ECC,Kingston,325.99,6.791458333333334,USD,48,DDR5-5600,Server,New,https://www.ebay.com/itm/204962498624?campid=5339111681,Ebay,
Hynix 32GB DDR5-4800 EC8 RDIMM HMCG84MEBRA115N HMCG84AEBRA168N Server Memory RAM,SK Hynix,250.31,7.8221875,USD,32,DDR5-4800,Server,Open box,https://www.ebay.com/itm/225873228919?campid=5339111681,Ebay,
Major Brand 8 GB PC5-44800 (DDR5-5600) 1Rx16 DDR5 Desktop RAM,Major Brand,31.99,3.99875,USD,8,DDR5-5600,Desktop,Used,https://www.ebay.com/itm/389130342650?campid=5339111681,Ebay,
Crucial - Pro Overclocking 32GB (2x16GB) DDR5 6000MHz C36 UDIMM Desktop Memor...,Crucial,181.99,5.6871875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/205117563745?campid=5339111681,Ebay,
G.SKILL Trident Z5 Neo RGB Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6,G.Skill,221.49,6.9215625,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/304632559533?campid=5339111681,Ebay,
Crucial RAM 8GB DDR5 4800MHz CL40 UDIMM Desktop Memory CT8G48C40U5,Crucial,59.99,7.49875,USD,8,DDR5,Desktop,New,https://www.ebay.com/itm/187155645040?campid=5339111681,Ebay,
PNY 64GB (2 x 32GB) 262-Pin DDR5 SO-DIMM DDR5 5600 (PC5 44800) Memory (Notebook,PNY,267.99,4.18734375,USD,64,DDR5,Laptop,New,https://www.ebay.com/itm/297653018323?campid=5339111681,Ebay,
SK Hynix DDR5 UDIMM 16GB (2x8GB) PC5-4800B-UC0-1010-XT Memory HMCG66MEBUA084N,SK Hynix,42.99,2.686875,USD,16,DDR5,Desktop,Open box,https://www.ebay.com/itm/167869409793?campid=5339111681,Ebay,
Samsung 64GB DDR5 4800 PC5-38400R 2Rx4 RDIMM REG Memory RAM (M321R8GA0BB0-CQK),Samsung,513.85,8.02890625,USD,64,DDR5,Server,New,https://www.ebay.com/itm/225705329877?campid=5339111681,Ebay,
Transcend DDR5 module 32 GB DIMM 288-pin 4800 MHz / PC5-38400 TS4GLA64V8E,Transcend,180.00,5.625,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/126813462808?campid=5339111681,Ebay,
Micron 64GB DDR5 5600 PC5-44800 EC8 RDIMM Server Memory RAM MTC40F2046S1RC56BD1,Micron,476.35,7.44296875,USD,64,DDR5,Server,Open box,https://www.ebay.com/itm/226407331977?campid=5339111681,Ebay,
