title,brand,price,$/gb,currency,capacity_gb,speed,form_factor,condition,link,source,itemGroupType
Crucial - 128GB Kit (2x64GB) DDR5 5600MHz C46 SODIMM Laptop Memory - Black,Crucial,1194.99,9.335859375,USD,128,DDR5,Laptop,New,https://www.ebay.com/itm/197794177436?campid=5339111681,Ebay,
*NEW* Team Group T-FORCE DELTA RGB 32GB (2x16GB) PC5-48000 (DDR5-6000) CL38,Team Group,180.00,5.625,USD,32,DDR5-6000,Desktop,New,https://www.ebay.com/itm/177795395841?campid=5339111681,Ebay,
G.SKILL Trident Z5 Neo RGB 32GB DDR5 (2 x 16GB) F5-6400J3039G16GX2-TZ5NR CL30,G.Skill,329.99,10.3121875,USD,32,DDR5,Desktop,Used,https://www.ebay.com/itm/168095760400?campid=5339111681,Ebay,
Samsung 16GB 1RX8 PC5-44800 DDR5-5600 SODIMM M425R2GA3EB0-CWMOD Memory,Samsung,148.00,9.25,USD,16,DDR5-5600,Laptop,New,https://www.ebay.com/itm/116969623702?campid=5339111681,Ebay,
Micron 64GB (2x32GB) DDR5 4800MHz SO-DIMM Laptop RAM 2Rx8 MTC16C2085S1SC48BA1 BC,Micron,409.00,6.390625,USD,64,DDR5,Laptop,Used,https://www.ebay.com/itm/297953192270?campid=5339111681,Ebay,
G.Skill Trident Z5 Neo RGB 6400mhz 48GB (2x24GB) DDR5 Kit 32-39-39-102 Timings,G.Skill,625.00,13.020833333333334,USD,48,6400mhz,Desktop,Used,https://www.ebay.com/itm/257319613964?campid=5339111681,Ebay,
Corsair Vengeance RGB 32GB (2x16GB) DDR5 6400MHz Memory Intel XMP iCUE CL32,Corsair,349.99,10.9371875,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/336398423394?campid=5339111681,Ebay,
DDR5 Kingston FURY Beast RGB 16GB (2 x 8GB) ,Kingston,160.00,10.0,USD,16,DDR5,Desktop,Used,https://www.ebay.com/itm/406622837536?campid=5339111681,Ebay,
SK Hynix 8GB DDR5 5600MHz Desktop Ram HMCG66AGBUA081N,SK Hynix,130.00,16.25,USD,8,DDR5,Desktop,Open box,https://www.ebay.com/itm/236577043349?campid=5339111681,Ebay,
Kingston Fury Beast 32GB (2x16GB) 5600MT/s DDR5 CL36 Desktop KF556C36BBEAK2-32,Kingston,275.00,8.59375,USD,32,5600MT/s,Desktop,New,https://www.ebay.com/itm/277662994796?campid=5339111681,Ebay,
CORSAIR CMH16GX5M2B5200C40 Vengeance RGB DDR5 Memory Modules 16GB (2x 8GB) DDR5,Corsair,209.99,13.124375,USD,16,DDR5,Desktop,Open box,https://www.ebay.com/itm/336325077382?campid=5339111681,Ebay,
Crucial 48GB DDR5 5600 SODIMM Memory Ram Desktop Laptop,Crucial,329.85,6.871875,USD,48,DDR5,Laptop,Used,https://www.ebay.com/itm/127635543799?campid=5339111681,Ebay,
Crucial 128GB (2x64GB) DDR5 5600MHz CL46 UDIMM Desktop Memory Kit CT2K64G56C46U5,Crucial,999.95,7.812109375,USD,128,DDR5,Desktop,New,https://www.ebay.com/itm/205967613670?campid=5339111681,Ebay,
TEAMGROUP Elite Plus DDR5 32GB (2x16GB) 6400MHz Desktop RAM,Team Group,290.00,9.0625,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/287076072500?campid=5339111681,Ebay,
CORSAIR Vengeance RGB 128GB (2 x 64GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desk,Corsair,1658.49,12.956953125,USD,128,DDR5,Desktop,New,https://www.ebay.com/itm/388528434747?campid=5339111681,Ebay,
Apacer Panther RGB 16GB (1x16GB) DDR5 RAM 5200MHz,Apacer,139.99,8.749375,USD,16,DDR5,Desktop,Used,https://www.ebay.com/itm/317780001722?campid=5339111681,Ebay,
CORSAIR VENGEANCE RGB 64GB (2x32GB)DDR5 RAM 5600MT/s (CMH5X32G2B56Z40A2),Corsair,625.00,9.765625,USD,64,DDR5,Desktop,Used,https://www.ebay.com/itm/326964204535?campid=5339111681,Ebay,
