title,brand,price,$/gb,currency,capacity_gb,speed,form_factor,condition,link,source,itemGroupType
Hynix 32GB DDR5 4800MHz PC5-38400 2Rx8 EC8 RDIMM Server Memory RAM (HMCG88AEBRA),SK Hynix,126.49,3.9528125,USD,32,DDR5,Server,Used,https://www.ebay.com/itm/326522470507?campid=5339111681,Ebay,
Hynix 8GB DDR5-5600 DIMM HMCG66AGBUA081N HMCG66AGBUA084N Desktop Memory RAM,SK Hynix,33.20,4.15,USD,8,DDR5-5600,Desktop,Open box,https://www.ebay.com/itm/226244059439?campid=5339111681,Ebay,
Crucial 128GB DDR5-5600 SODIMM Memory Kit - Black (CT2K64G56C46S5),Crucial,410.50,3.20703125,USD,128,DDR5-5600,Laptop,New,https://www.ebay.com/itm/116750839366?campid=5339111681,Ebay,
NIB G.Skill Trident Z5 RGB 96GB (2x48GB) DDR5 6400 DIMM F5-6400J3239F48GX2-TZ5RW,G.Skill,279.99,2.9165625,USD,96,DDR5,Desktop,New,https://www.ebay.com/itm/146854017712?campid=5339111681,Ebay,
Corsair Vengeance 32GB DDR5 6000MHz CL40 1.35V Desktop Memory RAM CMK32GX5M2B600,Corsair,89.99,2.8121875,USD,32,DDR5,Desktop,Used,https://www.ebay.com/itm/187606998834?campid=5339111681,Ebay,
TEAMGROUP T-FORCE VULCAN 16GB DDR5-6000 1Rx8 DESKTOP RAM FLBD516G6000HC38ABK,Team Group,47.99,2.999375,USD,16,DDR5-6000,Desktop,Used,https://www.ebay.com/itm/187600487541?campid=5339111681,Ebay,
Hynix 8GB DDR5 5600 MHz PC5-44800 1Rx16 SODIMM Laptop Memory RAM HMCG66AGBSA095N,SK Hynix,29.09,3.63625,USD,8,DDR5,Laptop,Open box,https://www.ebay.com/itm/226784077899?campid=5339111681,Ebay,
Crucial 64GB Kit Sodimm 2 x 32GB 262-Pin DDR5 5600 PC5-44800 Laptop Memory,Crucial,199.99,3.12484375,USD,64,DDR5,Laptop,New,https://www.ebay.com/itm/335242130048?campid=5339111681,Ebay,
Samsung 8GB DDR5 5600 PC5-44800 1Rx16 SODIMM Laptop Memory RAM M425R1GB4BB0-CWM,Samsung,24.99,3.12375,USD,8,DDR5,Laptop,Used,https://www.ebay.com/itm/226407331965?campid=5339111681,Ebay,
Crucial - Pro 64GB (2x32GB) DDR5 5600MHz C46 UDIMM Desktop Memory - Black,Crucial,184.99,2.89046875,USD,64,DDR5,Desktop,New,https://www.ebay.com/itm/205117563460?campid=5339111681,Ebay,
