title,brand,price,$/gb,currency,capacity_gb,speed,form_factor,condition,link,source,itemGroupType
HPE P64706-B21 32GB PC5-44800 DDR5-5600MT/s 2Rx8 ECC Memory New Sealed,HP,248.57,7.7678125,USD,32,DDR5,Server,New,https://www.ebay.com/itm/135110079015?campid=5339111681,Ebay,
 T-Force 32GB RGB RAM Kit (2x16GB) DDR5 6000MHZ PC5-48000 CL38 XMP & Expo Ready!,T-Force,82.89,2.5903125,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/376564851490?campid=5339111681,Ebay,
Crucial - DDR5 - kit - 48 GB: 2 x 24 GB - SO-DIMM 262-pin - 5600 MHz/PC5-44800.,Crucial,130.00,2.7083333333333335,USD,48,DDR5,Laptop,New,https://www.ebay.com/itm/357609700680?campid=5339111681,Ebay,
Crucial - Pro 64GB (2x32GB) DDR5 5600MHz C46 UDIMM Desktop Memory - Black,Crucial,169.99,2.65609375,USD,64,DDR5,Desktop,New,https://www.ebay.com/itm/205117563460?campid=5339111681,Ebay,
CORSAIR Vengeance RGB 32GB (2 x 16GB) PC RAM DDR5 6400 - CMH32GX6M2B6400C36,Corsair,110.00,3.4375,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/357636596534?campid=5339111681,Ebay,
G.Skill Flare X5 32GB (2x 16GB) DDR5-6000 (PC5-48000) CL36 XMP EXPO Desktop RAM,G.Skill,82.95,2.5921875,USD,32,DDR5-6000,Desktop,New,https://www.ebay.com/itm/127219606627?campid=5339111681,Ebay,
A-Tech 16GB Kit (2x 8GB) DDR5 4800 MHz Desktop PC5-38400 DIMM 288-Pin Memory RAM,A-Tech,37.79,2.361875,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/325470880728?campid=5339111681,Ebay,
G.SKILL Trident Z5 Neo RGB 32GB (2 x 16GB) PC5-48000 (DDR5-6400) 30-38 Latency,G.Skill,77.50,2.421875,USD,32,DDR5-6400,Desktop,Open box,https://www.ebay.com/itm/205737079562?campid=5339111681,Ebay,
Crucial Pro 48GB DDR5 5600MHz UDIMM Desktop Memory CP48G56C46U5,Crucial,109.00,2.2708333333333335,USD,48,DDR5,Desktop,Used,https://www.ebay.com/itm/286201591684?campid=5339111681,Ebay,
"G.SKILL FLARE X5, DDR5-6000, 32GB, 16GB X 2, DESKTOP RAM, F5-6000J3636F16GX2-FX5",G.Skill,75.99,2.3746875,USD,32,DDR5-6000,Desktop,New,https://www.ebay.com/itm/267406778389?campid=5339111681,Ebay,
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Intel XMP,Corsair,79.99,2.4996875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/396483205214?campid=5339111681,Ebay,
G.Skill RipJaws M5 RGB 16GB (2x8GB) RAM DDR5 6400MHz F5-6400J3648F16GX2-RM5RK,G.Skill,69.99,4.374375,USD,16,DDR5,Desktop,Used,https://www.ebay.com/itm/317311007118?campid=5339111681,Ebay,
Crucial 96GB (2 x 48GB) 5600 PC5 44800  DDR5 SO-DIMM CT2K48G56C46S5 ***SEALED***,Crucial,239.95,2.4994791666666667,USD,96,DDR5,Laptop,New,https://www.ebay.com/itm/388038177999?campid=5339111681,Ebay,
Crucial 48GB 5600MHz DDR5 SO-DIMM RAM PC5-44800 Laptop Memory CT48G56C46S5,Crucial,119.95,2.4989583333333334,USD,48,5600MHz,Laptop,New,https://www.ebay.com/itm/387745165929?campid=5339111681,Ebay,
A-Tech 8GB DDR5 4800 MHz PC5-38400 Desktop 288-Pin DIMM Non-ECC Memory RAM 1x 8G,A-Tech,18.36,2.295,USD,8,DDR5,Server,New,https://www.ebay.com/itm/225310017681?campid=5339111681,Ebay,
Kingston Fury Beast RGB 32GB (2x16GB) 6000MT/s DDR5 CL30 Desktop Memory,Kingston,120.00,3.75,USD,32,6000MT/s,Desktop,New,https://www.ebay.com/itm/205737080686?campid=5339111681,Ebay,
G.SKILL Trident Z5 Royal Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48,G.Skill,159.99,4.9996875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/387333734207?campid=5339111681,Ebay,
Micron 32GB DDR5-4800 PC5-38400 EC8 RDIMM Server Memory RAM MTC20F2085S1RC48BA1,Micron,142.99,4.4684375,USD,32,DDR5-4800,Server,Used,https://www.ebay.com/itm/326522470506?campid=5339111681,Ebay,
Hynix 32GB DDR5 4800MHz PC5-38400 2Rx8 EC8 RDIMM Server Memory RAM (HMCG88AEBRA),SK Hynix,126.49,3.9528125,USD,32,DDR5,Server,Used,https://www.ebay.com/itm/326522470507?campid=5339111681,Ebay,
Kingston 16 GB 5600MT DDR5 CL36 DIMM K2 Fury Beast Black Expo RAM Card,Kingston,45.99,2.874375,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/116771424691?campid=5339111681,Ebay,
G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) DDR5 5200 Desktop Memory Model,G.Skill,99.99,3.1246875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/406166171835?campid=5339111681,Ebay,
G.Skill Trident Z5 RGB Series 32GB (2x16GB) 6000MT/s PC MEMORY DDR5 RAM,G.Skill,79.99,2.4996875,USD,32,6000MT/s,Desktop,Used,https://www.ebay.com/itm/157332456256?campid=5339111681,Ebay,
