title,brand,price,$/gb,currency,capacity_gb,speed,form_factor,condition,link,source,itemGroupType
Samsung 16GB PC5-38400 DDR5 4800 MHz SODIMM Laptop Memory RAM M425R2GA3BB0-CQK,Samsung,59.95,3.746875,USD,16,DDR5,Laptop,New,https://www.ebay.com/itm/234729283627?campid=5339111681,Ebay,
Micron 32GB DDR5 DDR5-4800 PC5-38400 MTC20C2085S1EC48BA1R ECC Memory,Micron,139.99,4.3746875,USD,32,DDR5,Server,Open box,https://www.ebay.com/itm/227048009223?campid=5339111681,Ebay,
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Deskt,Corsair,149.00,4.65625,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/257171698243?campid=5339111681,Ebay,
Crucial - Pro 32GB (2x16GB) DDR5 5600MHz C46 UDIMM Desktop Memory - Black,Crucial,169.99,5.3121875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/205117559099?campid=5339111681,Ebay,
Crucial - 128GB Kit (2x64GB) DDR5 5600MHz C46 SODIMM Laptop Memory - Black,Crucial,594.99,4.648359375,USD,128,DDR5,Laptop,New,https://www.ebay.com/itm/197794177436?campid=5339111681,Ebay,
Patriot Viper Elite 5 16GB 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory M,Patriot,70.49,4.405625,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/306313286532?campid=5339111681,Ebay,
G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin DDR5 SDRAM,G.Skill,150.00,4.6875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/146905111144?campid=5339111681,Ebay,
Patriot Viper Venom 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop,Patriot,82.49,5.155625,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/388203617819?campid=5339111681,Ebay,
Micron 32GB DDR5 DDR5-4800 PC5-38400 MTC20C2085S1EC48BA1R ECC Memory,Micron,271.99,8.4996875,USD,32,DDR5,Server,New,https://www.ebay.com/itm/195506978833?campid=5339111681,Ebay,
G.SKILL 32GB DDR5 6400 Desktop RAM F5-6400J3239G16GA2-TZ5RK,G.Skill,199.00,6.21875,USD,32,DDR5,Desktop,Used,https://www.ebay.com/itm/257180420075?campid=5339111681,Ebay,
Hynix 16GB DDR5 5600 MHz PC5-44800 Non-ECC DIMM Desktop Memory RAM (HMCG78AGBUA),SK Hynix,87.46,5.46625,USD,16,DDR5,Server,Open box,https://www.ebay.com/itm/326367162267?campid=5339111681,Ebay,
Crucial - Pro 128GB (2x64GB) DDR5 5600MHz C46 UDIMM Desktop Memory - Black,Crucial,623.99,4.874921875,USD,128,DDR5,Desktop,New,https://www.ebay.com/itm/197794079145?campid=5339111681,Ebay,
Kingston FURY Beast DDR5 16GB (2x8GB) 5600MT/s DDR5 CL40 DIMM Desktop Gaming Mem,Kingston,60.00,3.75,USD,16,DDR5,Desktop,Open box,https://www.ebay.com/itm/297709771707?campid=5339111681,Ebay,
Kingston FURY Impact 32GB (2x16GB) 5600MT/s DDR5 CL40 Laptop Memory Kit of 2,Kingston,100.00,3.125,USD,32,5600MT/s,Laptop,Used,https://www.ebay.com/itm/146929361497?campid=5339111681,Ebay,
"G. Skill Flare X5 Desktop RAM DDR5-6000, 16GB",G.SKILL,75.00,4.6875,USD,16,DDR5-6000,Desktop,Used,https://www.ebay.com/itm/406334358958?campid=5339111681,Ebay,
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Custo,Corsair,216.49,6.7653125,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/388698997132?campid=5339111681,Ebay,
Samsung 8GB DDR5 5600MHz UDIMM Desktop PC Memory M323R1GB4DB0-CWM,Samsung,29.97,3.74625,USD,8,DDR5,Desktop,New,https://www.ebay.com/itm/396097468620?campid=5339111681,Ebay,
G.Skill Trident Z5 Neo RGB 32GB 2 x 16GB DDR5 6000MT/s CL30 White Desktop Memory,G.Skill,189.99,5.9371875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/257153857539?campid=5339111681,Ebay,
SK hynix  32GB DDR5 5600MHz UDIMM Desktop RAM,SK Hynix,119.99,3.7496875,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/336244575692?campid=5339111681,Ebay,
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 Desktop Memory,Corsair,180.49,5.6403125,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/305633592083?campid=5339111681,Ebay,
crucial 32gb kit ram 2x16 gb  ddr5-5600 sodimm,Crucial,150.00,4.6875,USD,32,ddr5-5600,Laptop,Used,https://www.ebay.com/itm/357831641749?campid=5339111681,Ebay,
Crucial Pro DDR5-6400 CL38 32GB Kit (16GBx2) UDIMM: OC Gaming Memory (Black),Crucial,165.99,5.1871875,USD,32,DDR5-6400,Desktop,New,https://www.ebay.com/itm/187681179062?campid=5339111681,Ebay,
Samsung 8GB DDR5 4800MHz SODIMM PC5-38400 CL40 262-Pin Laptop RAM Memory Module,Samsung,35.00,4.375,USD,8,DDR5,Laptop,New,https://www.ebay.com/itm/127276282574?campid=5339111681,Ebay,
Samsung 16GB (2x8GB) DDR5 5600MHz UDIMM Desktop RAM M323R1GB4PB0-CWM0L,Samsung,49.99,3.124375,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/257031591159?campid=5339111681,Ebay,
Corsair Dominator Platinum RGB DDR5 RAM Kit 32GB (2x16GB) CMT32GX5M2B5200C38,Corsair,120.00,3.75,USD,32,DDR5,Desktop,Used,https://www.ebay.com/itm/286905354669?campid=5339111681,Ebay,
Crucial 32GB DDR5-5600 SODIMM Non-ECC Laptop  Memory CT32G56C46S5 *SEALED*,Crucial,197.95,6.1859375,USD,32,DDR5-5600,Server,New,https://www.ebay.com/itm/386379389863?campid=5339111681,Ebay,
Team Group T-Force Delta 16GB 6000MHz DDR5 RGB RAM (Black) EXPO/XMP,Team Group,69.69,4.355625,USD,16,6000MHz,Desktop,Open box,https://www.ebay.com/itm/406326591338?campid=5339111681,Ebay,
