title,brand,price,$/gb,currency,capacity_gb,speed,form_factor,condition,link,source,itemGroupType
HMCG78AGBRA191N  - 16GB 1RX8 PC5-5600 RDIMM DDR5 ECC HYNIX,SK Hynix,65.00,4.0625,USD,16,DDR5,Server,Used,https://www.ebay.com/itm/397219261030?campid=5339111681,Ebay,
Kingston FURY Beast 16GB (2x8GB) 5200MT/s DDR5 CL36 RGB RAM KF552C36BBEAK2-16,Kingston,54.99,3.436875,USD,16,5200MT/s,Desktop,New,https://www.ebay.com/itm/116859786327?campid=5339111681,Ebay,
Crucial - 128GB Kit (2x64GB) DDR5 5600MHz C46 SODIMM Laptop Memory - Black,Crucial,594.99,4.648359375,USD,128,DDR5,Laptop,New,https://www.ebay.com/itm/197794177436?campid=5339111681,Ebay,
Crucial Pro DDR5-6400 CL38 32GB Kit (16GBx2) UDIMM: OC Gaming Memory (Black),Crucial,168.99,5.2809375,USD,32,DDR5-6400,Desktop,New,https://www.ebay.com/itm/187681179062?campid=5339111681,Ebay,
G.SKILL Trident Z5 Neo RGB 32GB (2 x 16GB) PC5-48000 (DDR5-6000) 36-36...,G.Skill,159.99,4.9996875,USD,32,DDR5-6000,Desktop,New,https://www.ebay.com/itm/127467411056?campid=5339111681,Ebay,
Crucial Pro DDR5-6400 CL38 32GB Kit (16GBx2) UDIMM: OC Gaming Memory (White),Crucial,166.99,5.2184375,USD,32,DDR5-6400,Desktop,New,https://www.ebay.com/itm/187695305904?campid=5339111681,Ebay,
Kingston FURY Impact 32GB (2 x 16GB) DDR5 SO-DIMM 5600,Kingston,125.00,3.90625,USD,32,DDR5,Laptop,New,https://www.ebay.com/itm/397224747006?campid=5339111681,Ebay,
CORSAIR VENGEANCE 64GB (2 x 32GB) PC5-41600 (DDR5-5200) C40 DIMM Memory - Black,Corsair,250.00,3.90625,USD,64,DDR5-5200,Desktop,New,https://www.ebay.com/itm/205824469740?campid=5339111681,Ebay,
G. SKILL Flare X5 Series 16GB (1x16GB) PC5-48000 DDR5-6000 DIMM Memory,G.SKILL,79.00,4.9375,USD,16,DDR5-6000,Desktop,Used,https://www.ebay.com/itm/297731516734?campid=5339111681,Ebay,
Micron 32GB DDR5 DDR5-4800 PC5-38400 MTC20C2085S1EC48BA1R ECC Memory,Micron,139.99,4.3746875,USD,32,DDR5,Server,Open box,https://www.ebay.com/itm/227048009223?campid=5339111681,Ebay,
Samsung 8GB DDR5 5600 PC5-44800 1Rx16 SODIMM Laptop Memory RAM M425R1GB4BB0-CWM,Samsung,42.16,5.27,USD,8,DDR5,Laptop,Used,https://www.ebay.com/itm/226407331965?campid=5339111681,Ebay,
Micron 32GB Kit 2x16GB DDR5-4800 SODIMM,Micron,204.18,6.380625,USD,32,DDR5-4800,Laptop,New,https://www.ebay.com/itm/389184663367?campid=5339111681,Ebay,
Patriot Viper Elite 5 16GB 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory M,Patriot,72.49,4.530625,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/306313286532?campid=5339111681,Ebay,
CORSAIR Vengeance RGB 48GB (2 x 24GB)  DDR5 7000 (PC5 56000) Desktop Memory Ram,Corsair,170.00,3.5416666666666665,USD,48,DDR5,Desktop,Used,https://www.ebay.com/itm/205174777135?campid=5339111681,Ebay,
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 Desktop Memory,Corsair,214.49,6.7028125,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/305633592083?campid=5339111681,Ebay,
Crucial - Pro 32GB (2x16GB) DDR5 5600MHz C46 UDIMM Desktop Memory - Black,Crucial,169.99,5.3121875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/205117559099?campid=5339111681,Ebay,
SK hynix  32GB DDR5 5600MHz UDIMM Desktop RAM,SK Hynix,135.99,4.2496875,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/336244575692?campid=5339111681,Ebay,
CORSAIR - VENGEANCE RGB 32GB (2x16GB) DDR5 6000MHz C30 AMD EXPO & Intel XMP U...,Corsair,199.99,6.2496875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/196409789762?campid=5339111681,Ebay,
Samsung 8GB DDR5 5600MHz UDIMM Desktop PC Memory M323R1GB4DB0-CWM,Samsung,29.97,3.74625,USD,8,DDR5,Desktop,New,https://www.ebay.com/itm/396097468620?campid=5339111681,Ebay,
Crucial RAM Pro - 48 GB - DDR5 5600 DIMM CL46,Crucial,164.99,3.437291666666667,USD,48,DDR5,Desktop,New,https://www.ebay.com/itm/297717805224?campid=5339111681,Ebay,
Samsung 16GB DDR5 5600 MHz PC5-44800 SODIMM Laptop Memory RAM (M425R2GA3PB0-CWM),Samsung,121.09,7.568125,USD,16,DDR5,Laptop,Open box,https://www.ebay.com/itm/326367162270?campid=5339111681,Ebay,
CORSAIR Vengeance RGB 64GB (2x32GB) 288-Pin DDR5 6400 Desktop Memory Ram cl32,Corsair,289.00,4.515625,USD,64,DDR5,Desktop,New,https://www.ebay.com/itm/116860289119?campid=5339111681,Ebay,
Micron 64GB kit (2X32GB) 6400Mhz DDR5 SODimm Laptop memory,Micron,289.99,4.53109375,USD,64,6400Mhz,Laptop,Open box,https://www.ebay.com/itm/177535905489?campid=5339111681,Ebay,
Patriot Viper Venom 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop,Patriot,92.99,5.811875,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/388203617819?campid=5339111681,Ebay,
Crucial - 32GB Kit (2x16GB) DDR5 5600MHz C46 SODIMM Laptop Memory - Black,Crucial,161.99,5.0621875,USD,32,DDR5,Laptop,New,https://www.ebay.com/itm/205117499838?campid=5339111681,Ebay,
Hynix 8GB DDR5-5600 DIMM HMCG66AGBUA081N HMCG66AGBUA084N Desktop Memory RAM,SK Hynix,56.00,7.0,USD,8,DDR5-5600,Desktop,Open box,https://www.ebay.com/itm/226244059439?campid=5339111681,Ebay,
Hynix 16GB DDR5 5600 MHz PC5-44800 Non-ECC DIMM Desktop Memory RAM (HMCG78AGBUA),SK Hynix,96.21,6.013125,USD,16,DDR5,Server,Open box,https://www.ebay.com/itm/326367162267?campid=5339111681,Ebay,
Crucial - Pro 64GB (2x32GB) DDR5 5600MHz C46 UDIMM Desktop Memory - Black,Crucial,328.99,5.14046875,USD,64,DDR5,Desktop,New,https://www.ebay.com/itm/205117563460?campid=5339111681,Ebay,
