title,brand,price,$/gb,currency,condition,link,source,itemGroupType,chipset,vram_gb
Nvidia Quadro RTX 6000 | 24GB VRAM | 30-Day Warranty,NVIDIA,749.99,31.249583333333334,USD,Used,https://www.ebay.com/itm/227101482035?campid=5339111681,Ebay,,RTX 6000,24
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,2931.99,91.6246875,USD,New,https://www.ebay.com/itm/388958530137?campid=5339111681,Ebay,,RTX 5090,32
RTX 3080 10gb pulled from HP Omen 30L,NVIDIA,350.00,35.0,USD,Used,https://www.ebay.com/itm/157352981453?campid=5339111681,Ebay,,RTX 3080,10
PNY XLR8 NVIDIA GeForce RTX 3070 8GB GDDR6 Graphics Card  GPU 30DaysWarranty,NVIDIA,249.99,31.24875,USD,Used,https://www.ebay.com/itm/297488768030?campid=5339111681,Ebay,,RTX 3070,8
HP OMEN RTX 3070 8GB GeForce 30 Series Graphics Card Used/Tested,NVIDIA,365.18,45.6475,USD,Used,https://www.ebay.com/itm/205870340040?campid=5339111681,Ebay,,RTX 3070,8
ZOTAC GAMING GeForce RTX 5080 APOCALYPSE OC DLSS 4 16GB GDDR7 256-bit 30 Gbps,NVIDIA,1499.99,93.749375,USD,New,https://www.ebay.com/itm/267463826917?campid=5339111681,Ebay,,RTX 5080,16
ZOTAC Gaming GeForce RTX 5090 ARCTICSTORM AIO  32GB DDR7  DLSS 4 ARGB lighting.,NVIDIA,3199.00,99.96875,USD,New,https://www.ebay.com/itm/227113734775?campid=5339111681,Ebay,,RTX 5090,32
ZOTAC GAMING GeForce RTX 5080 APOCALYPSE OC DLSS 4 16GB GDDR7 256-bit 30 Gbps,NVIDIA,1474.99,92.186875,USD,New,https://www.ebay.com/itm/336276443016?campid=5339111681,Ebay,,RTX 5080,16
WINDFORCE Geforce RTX 3050 6GB GDDR6 PCI Express 4.0 X8 ATX Graphics Card GV-N30,NVIDIA,256.81,42.80166666666667,USD,New,https://www.ebay.com/itm/177218797772?campid=5339111681,Ebay,,RTX 3050,6
ASUS GeForce RTX 5080 16GB GDDR7 Noctua OC Edition PCI Express 5.0 30 Gbps,NVIDIA,1400.00,87.5,USD,Used,https://www.ebay.com/itm/277572579219?campid=5339111681,Ebay,,RTX 5080,16
