title,brand,price,$/gb,currency,condition,link,source,itemGroupType,chipset,vram_gb
RTX 3080 10gb pulled from HP Omen 30L,NVIDIA,350.00,35.0,USD,Used,https://www.ebay.com/itm/157352981453?campid=5339111681,Ebay,,RTX 3080,10
Nvidia Quadro RTX 6000 | 24GB VRAM | 30-Day Warranty,NVIDIA,799.99,33.33291666666667,USD,Used,https://www.ebay.com/itm/227101482035?campid=5339111681,Ebay,,RTX 6000,24
PNY XLR8 NVIDIA GeForce RTX 3070 8GB GDDR6 Graphics Card  GPU 30DaysWarranty,NVIDIA,249.99,31.24875,USD,Used,https://www.ebay.com/itm/297488768030?campid=5339111681,Ebay,,RTX 3070,8
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,1890.00,59.0625,USD,New,https://www.ebay.com/itm/389314654241?campid=5339111681,Ebay,,RTX 5090,32
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,2931.99,91.6246875,USD,New,https://www.ebay.com/itm/388958530137?campid=5339111681,Ebay,,RTX 5090,32
HP OMEN RTX 3070 8GB GeForce 30 Series Graphics Card Used/Tested,NVIDIA,480.50,60.0625,USD,Used,https://www.ebay.com/itm/205870340040?campid=5339111681,Ebay,,RTX 3070,8
ZOTAC Gaming GeForce RTX 5090 ARCTICSTORM AIO  32GB DDR7  DLSS 4 ARGB lighting.,NVIDIA,3299.00,103.09375,USD,New,https://www.ebay.com/itm/227113734775?campid=5339111681,Ebay,,RTX 5090,32
EVGA RTX 3060 Ti FTW3 ULTRA GAMING 8GB NVIDIA Graphics Card 30days warranty ,NVIDIA,229.95,28.74375,USD,Used,https://www.ebay.com/itm/297488767456?campid=5339111681,Ebay,,RTX 3060 Ti,8
PALIT GeForce RTX 5070 GamePro 12GB NE75070019K9-GB2050A GDDR7 30Gbps [NEW],NVIDIA,1022.98,85.24833333333333,USD,New,https://www.ebay.com/itm/205409765735?campid=5339111681,Ebay,,RTX 5070,12
GIGABYTE GeForce RTX 3060 Ti 8GB GDDR6 OC Graphics Card 30 Series Tested,NVIDIA,494.00,61.75,USD,Used,https://www.ebay.com/itm/205870339997?campid=5339111681,Ebay,,RTX 3060 Ti,8
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,3303.99,103.2496875,USD,New,https://www.ebay.com/itm/336191063298?campid=5339111681,Ebay,,RTX 5090,32
"Rtx 3090  24GB pull out HP OMAN 30L, never used. ",NVIDIA,3129.00,130.375,USD,Open box,https://www.ebay.com/itm/234304708199?campid=5339111681,Ebay,,Rtx 3090,24
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,4522.46,141.326875,USD,New,https://www.ebay.com/itm/167786384624?campid=5339111681,Ebay,,RTX 5090,32
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,3359.99,104.9996875,USD,New,https://www.ebay.com/itm/257104697664?campid=5339111681,Ebay,,RTX 5090,32
Gigabyte GeForce RTX 4070 Ti SUPER 16GB GDDR6X Graphics Card GV-N407TSWF30C-16GD,NVIDIA,789.99,49.374375,USD,Used,https://www.ebay.com/itm/286949912689?campid=5339111681,Ebay,,RTX 4070 Ti,16
ASUS TUF Gaming GeForce RTX 5080 OC Edition 16GB GDDR7- BRAND NEW,NVIDIA,1667.51,104.219375,USD,New,https://www.ebay.com/itm/267243044681?campid=5339111681,Ebay,,RTX 5080,16
ASUS GeForce RTX 5080 16GB GDDR7 Noctua OC Edition PCI Express 5.0 30 Gbps,NVIDIA,2163.90,135.24375,USD,New,https://www.ebay.com/itm/267456373770?campid=5339111681,Ebay,,RTX 5080,16
ASUS GeForce RTX 5080 16GB GDDR7 Noctua OC Edition PCI Express 5.0 30 Gbps,NVIDIA,2162.90,135.18125,USD,New,https://www.ebay.com/itm/257188130471?campid=5339111681,Ebay,,RTX 5080,16
PALIT GeForce RTX 5080 GamePro 16GB NE75080019T2-GB2031A GDDR7 30 Gbps [NEW],NVIDIA,2029.98,126.87375,USD,New,https://www.ebay.com/itm/205406090563?campid=5339111681,Ebay,,RTX 5080,16
ASUS TUF Gaming TUF-RTX5080-O16G-GAMING NVIDIA GeForce RTX 5080 16 GB GDDR7,NVIDIA,2018.10,126.13125,USD,New,https://www.ebay.com/itm/197758087706?campid=5339111681,Ebay,,RTX 5080,16
PALIT GeForce RTX 5070 GamePro 12GB NE75070019K9-GB2050A GDDR7 30Gbps NEW,NVIDIA,1022.97,85.2475,USD,New,https://www.ebay.com/itm/388271910084?campid=5339111681,Ebay,,RTX 5070,12
PALIT GeForce RTX 5080 GamePro 16GB NE75080019T2-GB2031A GDDR7 30 Gbps NEW,NVIDIA,2029.97,126.873125,USD,New,https://www.ebay.com/itm/187147772007?campid=5339111681,Ebay,,RTX 5080,16
RTX 3080 10gb pulled from HP Omen 30L,NVIDIA,350.00,35.0,USD,Used,https://www.ebay.com/itm/157352981453?campid=5339111681,Ebay,,RTX 3080,10
Nvidia Quadro RTX 6000 | 24GB VRAM | 30-Day Warranty,NVIDIA,799.99,33.33291666666667,USD,Used,https://www.ebay.com/itm/227101482035?campid=5339111681,Ebay,,RTX 6000,24
PNY XLR8 NVIDIA GeForce RTX 3070 8GB GDDR6 Graphics Card  GPU 30DaysWarranty,NVIDIA,249.99,31.24875,USD,Used,https://www.ebay.com/itm/297488768030?campid=5339111681,Ebay,,RTX 3070,8
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,1890.00,59.0625,USD,New,https://www.ebay.com/itm/389314654241?campid=5339111681,Ebay,,RTX 5090,32
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,2931.99,91.6246875,USD,New,https://www.ebay.com/itm/388958530137?campid=5339111681,Ebay,,RTX 5090,32
HP OMEN RTX 3070 8GB GeForce 30 Series Graphics Card Used/Tested,NVIDIA,480.50,60.0625,USD,Used,https://www.ebay.com/itm/205870340040?campid=5339111681,Ebay,,RTX 3070,8
EVGA RTX 3060 Ti FTW3 ULTRA GAMING 8GB NVIDIA Graphics Card 30days warranty ,NVIDIA,229.95,28.74375,USD,Used,https://www.ebay.com/itm/297488767456?campid=5339111681,Ebay,,RTX 3060 Ti,8
ZOTAC Gaming GeForce RTX 5090 ARCTICSTORM AIO  32GB DDR7  DLSS 4 ARGB lighting.,NVIDIA,3299.00,103.09375,USD,New,https://www.ebay.com/itm/227113734775?campid=5339111681,Ebay,,RTX 5090,32
