title,brand,price,$/gb,currency,condition,link,source,itemGroupType,chipset,vram_gb
ZOTAC GAMING GEFORCE RTX 3090 ARTICSTORM 24GB Waterblock GPU (ZT-A30900Q-30P),NVIDIA,759.99,31.66625,USD,Used,https://www.ebay.com/itm/127570266230?campid=5339111681,Ebay,,RTX 3090,24
RTX 3080 10gb pulled from HP Omen 30L,NVIDIA,350.00,35.0,USD,Used,https://www.ebay.com/itm/157352981453?campid=5339111681,Ebay,,RTX 3080,10
EVGA RTX 3060 Ti FTW3 ULTRA GAMING 8GB NVIDIA Graphics Card 30days warranty ,NVIDIA,229.95,28.74375,USD,Used,https://www.ebay.com/itm/297488767456?campid=5339111681,Ebay,,RTX 3060 Ti,8
ZOTAC Gaming GeForce RTX 5090 ARCTICSTORM AIO  32GB DDR7  DLSS 4 ARGB lighting.,NVIDIA,3199.00,99.96875,USD,New,https://www.ebay.com/itm/227113734775?campid=5339111681,Ebay,,RTX 5090,32
HP OMEN RTX 3070 8GB GeForce 30 Series Graphics Card Used/Tested,NVIDIA,374.79,46.84875,USD,Used,https://www.ebay.com/itm/205870340040?campid=5339111681,Ebay,,RTX 3070,8
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,2931.99,91.6246875,USD,New,https://www.ebay.com/itm/388958530137?campid=5339111681,Ebay,,RTX 5090,32
ASUS GeForce RTX 5080 16GB GDDR7 Noctua OC Edition PCI Express 5.0 30 Gbps,NVIDIA,1600.00,100.0,USD,Used,https://www.ebay.com/itm/277572579219?campid=5339111681,Ebay,,RTX 5080,16
GIGABYTE GeForce RTX 3060 Ti 8GB GDDR6 OC Graphics Card 30 Series Tested,NVIDIA,385.32,48.165,USD,Used,https://www.ebay.com/itm/205870339997?campid=5339111681,Ebay,,RTX 3060 Ti,8
Zotac GAMING GeForce RTX 5090 ARCTICSTORM AIO NVIDIA 32 GB GDDR7,NVIDIA,4390.80,137.2125,USD,New,https://www.ebay.com/itm/197960956906?campid=5339111681,Ebay,,RTX 5090,32
"Rtx 3090  24GB pull out HP OMAN 30L, never used. ",NVIDIA,3129.00,130.375,USD,Open box,https://www.ebay.com/itm/234304708199?campid=5339111681,Ebay,,Rtx 3090,24
WINDFORCE Geforce RTX 3050 6GB GDDR6 PCI Express 4.0 X8 ATX Graphics Card GV-N30,NVIDIA,317.14,52.85666666666666,USD,New,https://www.ebay.com/itm/177218797772?campid=5339111681,Ebay,,RTX 3050,6
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,3296.87,103.0271875,USD,New,https://www.ebay.com/itm/336191063298?campid=5339111681,Ebay,,RTX 5090,32
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,3352.75,104.7734375,USD,New,https://www.ebay.com/itm/257104697664?campid=5339111681,Ebay,,RTX 5090,32
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,4522.46,141.326875,USD,New,https://www.ebay.com/itm/167786384624?campid=5339111681,Ebay,,RTX 5090,32
ASUS GeForce RTX 5080 16GB GDDR7 Noctua OC Edition PCI Express 5.0 30 Gbps,NVIDIA,2163.90,135.24375,USD,New,https://www.ebay.com/itm/267456373770?campid=5339111681,Ebay,,RTX 5080,16
ASUS GeForce RTX 5080 16GB GDDR7 Noctua OC Edition PCI Express 5.0 30 Gbps,NVIDIA,2162.90,135.18125,USD,New,https://www.ebay.com/itm/257188130471?campid=5339111681,Ebay,,RTX 5080,16
PALIT GeForce RTX 5080 GamePro 16GB NE75080019T2-GB2031A GDDR7 30 Gbps [NEW],NVIDIA,2389.98,149.37375,USD,New,https://www.ebay.com/itm/205406090563?campid=5339111681,Ebay,,RTX 5080,16
ASUS TUF Gaming TUF-RTX5080-O16G-GAMING NVIDIA GeForce RTX 5080 16 GB GDDR7,NVIDIA,2034.30,127.14375,USD,New,https://www.ebay.com/itm/197758087706?campid=5339111681,Ebay,,RTX 5080,16
ASUS TUF Gaming GeForce RTX 5080 OC Edition 16GB GDDR7- BRAND NEW,NVIDIA,1672.85,104.553125,USD,New,https://www.ebay.com/itm/267243044681?campid=5339111681,Ebay,,RTX 5080,16
PALIT GeForce RTX 5080 GamePro 16GB NE75080019T2-GB2031A GDDR7 30 Gbps NEW,NVIDIA,2389.97,149.373125,USD,New,https://www.ebay.com/itm/187147772007?campid=5339111681,Ebay,,RTX 5080,16
PALIT GeForce RTX 5070 GamePro 12GB NE75070019K9-GB2050A GDDR7 30Gbps NEW,NVIDIA,1022.97,85.2475,USD,New,https://www.ebay.com/itm/388271910084?campid=5339111681,Ebay,,RTX 5070,12
ZOTAC GAMING GEFORCE RTX 3090 ARTICSTORM 24GB Waterblock GPU (ZT-A30900Q-30P),NVIDIA,759.99,31.66625,USD,Used,https://www.ebay.com/itm/127570266230?campid=5339111681,Ebay,,RTX 3090,24
RTX 3080 10gb pulled from HP Omen 30L,NVIDIA,350.00,35.0,USD,Used,https://www.ebay.com/itm/157352981453?campid=5339111681,Ebay,,RTX 3080,10
EVGA RTX 3060 Ti FTW3 ULTRA GAMING 8GB NVIDIA Graphics Card 30days warranty ,NVIDIA,229.95,28.74375,USD,Used,https://www.ebay.com/itm/297488767456?campid=5339111681,Ebay,,RTX 3060 Ti,8
ZOTAC Gaming GeForce RTX 5090 ARCTICSTORM AIO  32GB DDR7  DLSS 4 ARGB lighting.,NVIDIA,3199.00,99.96875,USD,New,https://www.ebay.com/itm/227113734775?campid=5339111681,Ebay,,RTX 5090,32
HP OMEN RTX 3070 8GB GeForce 30 Series Graphics Card Used/Tested,NVIDIA,374.79,46.84875,USD,Used,https://www.ebay.com/itm/205870340040?campid=5339111681,Ebay,,RTX 3070,8
ZOTAC ARCTICSTORM AIO Liquid Cooling GeForce RTX 5090 32GB GDDR7 PCI Express 5.0,NVIDIA,2931.99,91.6246875,USD,New,https://www.ebay.com/itm/388958530137?campid=5339111681,Ebay,,RTX 5090,32
ASUS GeForce RTX 5080 16GB GDDR7 Noctua OC Edition PCI Express 5.0 30 Gbps,NVIDIA,1600.00,100.0,USD,Used,https://www.ebay.com/itm/277572579219?campid=5339111681,Ebay,,RTX 5080,16
GIGABYTE GeForce RTX 3060 Ti 8GB GDDR6 OC Graphics Card 30 Series Tested,NVIDIA,385.32,48.165,USD,Used,https://www.ebay.com/itm/205870339997?campid=5339111681,Ebay,,RTX 3060 Ti,8
